,text,manifesto_id,party,date,title,Class
1643,snp also move towards removal tolls scottish bridges introduce tolls new existing bridges roads,51902_199705,Scottish National Party,199705,Yes we can win the best for Scotland,5
10745,pursue ambition become prosperous major economy world,51620_201505,Conservative Party,201505,"Strong leadership. A clear economic plan. A brighter, more secure future. The Conservative Party Manifesto 2015",0
8141,engage european allies protect national interest five years britain sidelined europe isolated abroad,51320_201505,Labour Party,201505,Britain can be better. The Labour Party Manifesto 2015,3
15270,outside eu control vat,51951_201505,United Kingdom Independence Party,201505,Believe in Britain. UKIP Manifesto 2015,9
2265,putting obligation electricity companies deliver ten per cent uk electricity renewable sources doubling combined heat power,51320_200106,Labour Party,200106,Ambitions for Britain,3
12132,strengthen counter terrorism powers,51620_201505,Conservative Party,201505,"Strong leadership. A clear economic plan. A brighter, more secure future. The Conservative Party Manifesto 2015",0
1770,independent scotland benefit strong conventional forces place expensive useless trident nuclear weapons,51902_199705,Scottish National Party,199705,Yes we can win the best for Scotland,5
59,launch national truancy watch scheme,51421_199705,Liberal Democrats,199705,Make the Difference,4
1664,assist university highlands islands establishing world lead distance learning internet means,51902_199705,Scottish National Party,199705,Yes we can win the best for Scotland,5
4643,main issue many election economy,51110_201505,Green Party of England and Wales,201505,For the common good. General election manifesto 2015,2
14039,vote block plans cut disability living allowance billion across uk,51902_201505,Scottish National Party,201505,Stronger for Scotland. SNP Manifesto 2015,5
2231,smarter driving encouraged new highway communications technology,51320_200106,Labour Party,200106,Ambitions for Britain,3
15870,get access medical dental services,51951_201505,United Kingdom Independence Party,201505,Believe in Britain. UKIP Manifesto 2015,9
9357,repeal rule new state funded schools must free schools academies,51421_201505,Liberal Democrats,201505,Manifesto 2015. Stronger Economy. Fairer Society. Opportunity for Everyone.,4
14611,demand section equalities act commenced regulations compel employers people publish annual gender pay gap information starting consulted brought law,51902_201505,Scottish National Party,201505,Stronger for Scotland. SNP Manifesto 2015,5
7754,introduce higher rate job seekers allowance contributed years,51320_201505,Labour Party,201505,Britain can be better. The Labour Party Manifesto 2015,3
6871,continue prioritise job creation,51210_201505,We Ourselves,201505,Equality not austerity Comhionannas ní déine. Sinn Féin 2015 Westminster election manifesto,10
14148,support increases infrastructure investment,51902_201505,Scottish National Party,201505,Stronger for Scotland. SNP Manifesto 2015,5
6252,also allow local authorities levy new local taxes local tourist taxes,51110_201505,Green Party of England and Wales,201505,For the common good. General election manifesto 2015,2
136,commitment liberal democrats lock economic stability encourage saving promote enterprise,51421_199705,Liberal Democrats,199705,Make the Difference,4
6191,councillors mp meps work effectively people voted,51110_201505,Green Party of England and Wales,201505,For the common good. General election manifesto 2015,2
4384,near current threshold income taxation penalised tax treatment increases basic state pension,51902_200106,Scottish National Party,200106,Heart of the manifesto 2001,5
217,promote establishment industry wide ombudsmen schemes improve complaints procedures consumer redress,51421_199705,Liberal Democrats,199705,Make the Difference,4
13104,create new jobs,51901_201505,The Party of Wales,201505,Working for Wales. 2015 Westminster Election Manifesto,7
6085,green mp caroline lucas welfare reform last parliament green mp caroline lucas took stand removal link benefit levels inflation,51110_201505,Green Party of England and Wales,201505,For the common good. General election manifesto 2015,2
15340,ceasing subsidies bars dining rooms palace westminster,51951_201505,United Kingdom Independence Party,201505,Believe in Britain. UKIP Manifesto 2015,9
3459,determined play constructive role rio plus meeting south africa next year,51320_200106,Labour Party,200106,Ambitions for Britain,3
15622,ukip fully committed maintaining strong supportive safety net fall hard times whether fault,51951_201505,United Kingdom Independence Party,201505,Believe in Britain. UKIP Manifesto 2015,9
16426,clearly distinguishes us parties sought denigrate historic values sovereignty democracy independence patriotism freedom handing responsibility governance eu,51951_201505,United Kingdom Independence Party,201505,Believe in Britain. UKIP Manifesto 2015,9
15227,without adding penny burgeoning national debt without cutting vital services without raising taxes course next parliament,51951_201505,United Kingdom Independence Party,201505,Believe in Britain. UKIP Manifesto 2015,9
6864,total british public expenditure budget,51210_201505,We Ourselves,201505,Equality not austerity Comhionannas ní déine. Sinn Féin 2015 Westminster election manifesto,10
12220,made scottish parliament welsh assembly responsible funding spend,51620_201505,Conservative Party,201505,"Strong leadership. A clear economic plan. A brighter, more secure future. The Conservative Party Manifesto 2015",0
6202,contrast coalition often described actual cuts public services efficiency savings,51110_201505,Green Party of England and Wales,201505,For the common good. General election manifesto 2015,2
13222,strengthen tax antiavoidance legislation make harder companies individuals organisations avoid paying rightful amount,51901_201505,The Party of Wales,201505,Working for Wales. 2015 Westminster Election Manifesto,7
5202,eprs built france finland years behind schedule huge cost overruns,51110_201505,Green Party of England and Wales,201505,For the common good. General election manifesto 2015,2
4273,work local authorities,51902_200106,Scottish National Party,200106,Heart of the manifesto 2001,5
12826,support principle living wage given northern ireland economy constituted almost exclusively micro smes living wage would represent existential threat practical step northern ireland stage restore minimum wage position originally intended,51621_201505,Ulster Unionist Party,201505,"One day, one vote, one chance for change. Westminster Manifesto 2015",8
5936,table compares green party plan set manifesto gdp spent public goods european countries usa planned decline investment public sphere uk,51110_201505,Green Party of England and Wales,201505,For the common good. General election manifesto 2015,2
8783,use taxes wealthiest,51421_201505,Liberal Democrats,201505,Manifesto 2015. Stronger Economy. Fairer Society. Opportunity for Everyone.,4
603,give government back people decentralising power nations regions communities united kingdom,51421_199705,Liberal Democrats,199705,Make the Difference,4
13045,support sustainable rural tourism,51621_201505,Ulster Unionist Party,201505,"One day, one vote, one chance for change. Westminster Manifesto 2015",8
1399,many years deplorable lack investment scotland housing,51902_199705,Scottish National Party,199705,Yes we can win the best for Scotland,5
9980,liberal democrats reject false choice true security individuals nation must built platform equal rights civil liberties,51421_201505,Liberal Democrats,201505,Manifesto 2015. Stronger Economy. Fairer Society. Opportunity for Everyone.,4
6118,things would propose forthcoming parliament steps towards major reform,51110_201505,Green Party of England and Wales,201505,For the common good. General election manifesto 2015,2
642,introduce home rule wales creation welsh senedd elected proportional representation able raise reduce income tax,51421_199705,Liberal Democrats,199705,Make the Difference,4
1358,snp manifesto,51902_199705,Scottish National Party,199705,Yes we can win the best for Scotland,5
10825,commitment goes,51620_201505,Conservative Party,201505,"Strong leadership. A clear economic plan. A brighter, more secure future. The Conservative Party Manifesto 2015",0
2997,labour objective get right benefit right people right time,51320_200106,Labour Party,200106,Ambitions for Britain,3
14994,document sets key priorities discussion parties could form next government,51903_201505,Democratic Unionist Party,201505,The Northern Ireland Plan,1
2438,ten year goal healthier nation fast high quality treatment meeting rising expectations demographic technological challenges,51320_200106,Labour Party,200106,Ambitions for Britain,3
4461,link newhouse ballieston,51902_200106,Scottish National Party,200106,Heart of the manifesto 2001,5
14831,continue take forward partnership scotland island communities part islands future project clear intention devolve new powers responsibilities scotland three main island groups,51902_201505,Scottish National Party,201505,Stronger for Scotland. SNP Manifesto 2015,5
15108,uk wide definition victim excludes perpetrators,51903_201505,Democratic Unionist Party,201505,The Northern Ireland Plan,1
6727,rich countries uk benefited global flows wealth poorer countries groups tended lose,51110_201505,Green Party of England and Wales,201505,For the common good. General election manifesto 2015,2
9420,want young people face future optimism confidence,51421_201505,Liberal Democrats,201505,Manifesto 2015. Stronger Economy. Fairer Society. Opportunity for Everyone.,4
6617,depleted uranium weapons,51110_201505,Green Party of England and Wales,201505,For the common good. General election manifesto 2015,2
5193,subsidies would impose enormous unjustifiable costs householders businesses,51110_201505,Green Party of England and Wales,201505,For the common good. General election manifesto 2015,2
9731,encourage investment growth innovation new entrants securing future uk food farming industry,51421_201505,Liberal Democrats,201505,Manifesto 2015. Stronger Economy. Fairer Society. Opportunity for Everyone.,4
5357,free university education past privilege tiny group people,51110_201505,Green Party of England and Wales,201505,For the common good. General election manifesto 2015,2
1048,scotland pays way world,51902_199705,Scottish National Party,199705,Yes we can win the best for Scotland,5
9683,complete broadband rollout every home,51421_201505,Liberal Democrats,201505,Manifesto 2015. Stronger Economy. Fairer Society. Opportunity for Everyone.,4
1837,confident belief country,51320_200106,Labour Party,200106,Ambitions for Britain,3
15524,stripping unnecessary eu regulation,51951_201505,United Kingdom Independence Party,201505,Believe in Britain. UKIP Manifesto 2015,9
11768,commitment,51620_201505,Conservative Party,201505,"Strong leadership. A clear economic plan. A brighter, more secure future. The Conservative Party Manifesto 2015",0
4821,improve water quality,51110_201505,Green Party of England and Wales,201505,For the common good. General election manifesto 2015,2
11907,coasts complete network marine conservation zones already started create uk blue belt protected sites,51620_201505,Conservative Party,201505,"Strong leadership. A clear economic plan. A brighter, more secure future. The Conservative Party Manifesto 2015",0
13206,believe decisions money made wales behalf people affect,51901_201505,The Party of Wales,201505,Working for Wales. 2015 Westminster Election Manifesto,7
13665,airports ports,51901_201505,The Party of Wales,201505,Working for Wales. 2015 Westminster Election Manifesto,7
9813,committee set provides advice government state england natural assets including forests rivers land minerals oceans,51421_201505,Liberal Democrats,201505,Manifesto 2015. Stronger Economy. Fairer Society. Opportunity for Everyone.,4
6902,sl nd il bhreise fosta ochta chinnti agus deireadh chur le conartha n id uaireanta,51210_201505,We Ourselves,201505,Equality not austerity Comhionannas ní déine. Sinn Féin 2015 Westminster election manifesto,10
153,first single currency must firmly founded maastricht criteria,51421_199705,Liberal Democrats,199705,Make the Difference,4
16037,director niesr repudiated claims describing efforts wilful distortion facts,51951_201505,United Kingdom Independence Party,201505,Believe in Britain. UKIP Manifesto 2015,9
6514,introduced first floating bus stop resulting bus usage increasing almost two years,51110_201505,Green Party of England and Wales,201505,For the common good. General election manifesto 2015,2
570,giving patients choice,51421_199705,Liberal Democrats,199705,Make the Difference,4
11184,goal welfare reform reward hard work,51620_201505,Conservative Party,201505,"Strong leadership. A clear economic plan. A brighter, more secure future. The Conservative Party Manifesto 2015",0
13802,make sure farming remains viable wales supporting cap,51901_201505,The Party of Wales,201505,Working for Wales. 2015 Westminster Election Manifesto,7
11791,everyone works hard able home,51620_201505,Conservative Party,201505,"Strong leadership. A clear economic plan. A brighter, more secure future. The Conservative Party Manifesto 2015",0
4797,also care species planet home share need take interests well well account,51110_201505,Green Party of England and Wales,201505,For the common good. General election manifesto 2015,2
14076,support change phased fouryear period,51902_201505,Scottish National Party,201505,Stronger for Scotland. SNP Manifesto 2015,5
11252,cause social pressures communities find hard integrate,51620_201505,Conservative Party,201505,"Strong leadership. A clear economic plan. A brighter, more secure future. The Conservative Party Manifesto 2015",0
5592,integration grammar schools comprehensive system,51110_201505,Green Party of England and Wales,201505,For the common good. General election manifesto 2015,2
15252,believe britain ukip believes key creating successful dynamic economy fair society lies harnessing ingenuity resourcefulness appetite hard work british people,51951_201505,United Kingdom Independence Party,201505,Believe in Britain. UKIP Manifesto 2015,9
1582,ensure full public consultation enquiry environmental impact major projects government policies,51902_199705,Scottish National Party,199705,Yes we can win the best for Scotland,5
12964,zero tolerance policy illegal immigration,51621_201505,Ulster Unionist Party,201505,"One day, one vote, one chance for change. Westminster Manifesto 2015",8
15026,uk government encourage international events northern ireland,51903_201505,Democratic Unionist Party,201505,The Northern Ireland Plan,1
3649,individuals able get world regardless come,51902_200106,Scottish National Party,200106,Heart of the manifesto 2001,5
15020,uk wide tax policy improvements encourage economic growth northern ireland,51903_201505,Democratic Unionist Party,201505,The Northern Ireland Plan,1
8773,balancing budget,51421_201505,Liberal Democrats,201505,Manifesto 2015. Stronger Economy. Fairer Society. Opportunity for Everyone.,4
15926,take pressure airports,51951_201505,United Kingdom Independence Party,201505,Believe in Britain. UKIP Manifesto 2015,9
8373,health minister previously said money left health service purse pursue reform,51340_201505,Social Democratic and Labour Party,201505,Prosperity not austerity. SDLP Westminster Manifesto 2015,6
7593,health reforms focus prevention early intervention joining services home hospital,51320_201505,Labour Party,201505,Britain can be better. The Labour Party Manifesto 2015,3
15635,continue pay housing benefit young people age,51951_201505,United Kingdom Independence Party,201505,Believe in Britain. UKIP Manifesto 2015,9
13383,plaid cymru values vocational non academic qualifications continue promote education sector providing appropriate funding training courses order increase skills amongst workforce,51901_201505,The Party of Wales,201505,Working for Wales. 2015 Westminster Election Manifesto,7
872,work improve european co operation cross border criminal activity allow free movement britain people throughout europe,51421_199705,Liberal Democrats,199705,Make the Difference,4
5252,allowing genderless honorifics council documentation,51110_201505,Green Party of England and Wales,201505,For the common good. General election manifesto 2015,2
6059,imagine tax benefit system simple could depend small basic income depending age paid work simply got taxed higher rate earned,51110_201505,Green Party of England and Wales,201505,For the common good. General election manifesto 2015,2
6100,pay every woman man child legally resident uk guaranteed non means tested income sufficient cover basic needs basic income,51110_201505,Green Party of England and Wales,201505,For the common good. General election manifesto 2015,2
3889,including electricity,51902_200106,Scottish National Party,200106,Heart of the manifesto 2001,5
225,introduce independent regulation financial services improve processes redress e g mis selling,51421_199705,Liberal Democrats,199705,Make the Difference,4
7450,increase competition high street,51320_201505,Labour Party,201505,Britain can be better. The Labour Party Manifesto 2015,3
2816,partners unemployed people children like without children also asked interviews discuss options,51320_200106,Labour Party,200106,Ambitions for Britain,3
584,introduce new carer benefit place independent living allowance order meet financial cost caring,51421_199705,Liberal Democrats,199705,Make the Difference,4
13679,grassroots approach stronger community level local government focuses delivery services,51901_201505,The Party of Wales,201505,Working for Wales. 2015 Westminster Election Manifesto,7
1362,restoring educational excellence,51902_199705,Scottish National Party,199705,Yes we can win the best for Scotland,5
3775,shall also bring forward changes formal parental representation schools,51902_200106,Scottish National Party,200106,Heart of the manifesto 2001,5
11709,shone bright light government spending requiring central government spending published online,51620_201505,Conservative Party,201505,"Strong leadership. A clear economic plan. A brighter, more secure future. The Conservative Party Manifesto 2015",0
15137,us deliver kind changes improvements want see need support westminster make sure politics operates better northern ireland,51903_201505,Democratic Unionist Party,201505,The Northern Ireland Plan,1
10052,determined combat antisemitism anti muslim hate uk internationally,51421_201505,Liberal Democrats,201505,Manifesto 2015. Stronger Economy. Fairer Society. Opportunity for Everyone.,4
14819,snp mps seek ways extending community asset transfer provisions legislation include property scotland owned uk government departments,51902_201505,Scottish National Party,201505,Stronger for Scotland. SNP Manifesto 2015,5
14709,dundee waterfront project,51902_201505,Scottish National Party,201505,Stronger for Scotland. SNP Manifesto 2015,5
10247,ensuring access justice,51421_201505,Liberal Democrats,201505,Manifesto 2015. Stronger Economy. Fairer Society. Opportunity for Everyone.,4
15755,narrow curriculum,51951_201505,United Kingdom Independence Party,201505,Believe in Britain. UKIP Manifesto 2015,9
11626,already boosted funding sport primary schools schools registered take part school games,51620_201505,Conservative Party,201505,"Strong leadership. A clear economic plan. A brighter, more secure future. The Conservative Party Manifesto 2015",0
6160,fund reducing tax national insurance incentives private pensions onehalf raising billion see older people pensions section chapter using billion available abolishing national insurance upper threshold see child benefit section,51110_201505,Green Party of England and Wales,201505,For the common good. General election manifesto 2015,2
2568,develop school achievement awards reward staff fast improving schools year,51320_200106,Labour Party,200106,Ambitions for Britain,3
9526,provide cash similar investments scotland wales northern ireland,51421_201505,Liberal Democrats,201505,Manifesto 2015. Stronger Economy. Fairer Society. Opportunity for Everyone.,4
3567,one million jobs economy,51320_200106,Labour Party,200106,Ambitions for Britain,3
5877,change new system would create new substantial cash flow government could spent social environmental priorities,51110_201505,Green Party of England and Wales,201505,For the common good. General election manifesto 2015,2
9959,next parliament go ensuring least four million homes improved,51421_201505,Liberal Democrats,201505,Manifesto 2015. Stronger Economy. Fairer Society. Opportunity for Everyone.,4
10879,set long term economic plans raise growth rate parts england bringing areas grown slowly least national average,51620_201505,Conservative Party,201505,"Strong leadership. A clear economic plan. A brighter, more secure future. The Conservative Party Manifesto 2015",0
15043,build economic transport infrastructure future,51903_201505,Democratic Unionist Party,201505,The Northern Ireland Plan,1
13174,means earn individuals companies must make fair contribution like earn lower incomes,51901_201505,The Party of Wales,201505,Working for Wales. 2015 Westminster Election Manifesto,7
13691,elected representatives must answerable people,51901_201505,The Party of Wales,201505,Working for Wales. 2015 Westminster Election Manifesto,7
10404,stormont house agreement represents another stage intensive work necessary build long term peace stability prosperity northern ireland,51421_201505,Liberal Democrats,201505,Manifesto 2015. Stronger Economy. Fairer Society. Opportunity for Everyone.,4
6553,seek negotiated settlements range conflicts around world,51110_201505,Green Party of England and Wales,201505,For the common good. General election manifesto 2015,2
3698,parent born scotland,51902_200106,Scottish National Party,200106,Heart of the manifesto 2001,5
8288,seek targeted construction scheme increase availability grade office space available across north,51340_201505,Social Democratic and Labour Party,201505,Prosperity not austerity. SDLP Westminster Manifesto 2015,6
1557,fundamental objective snp fisheries policy create well managed properly conserved fishery,51902_199705,Scottish National Party,199705,Yes we can win the best for Scotland,5
3185,asylum alternative route immigration,51320_200106,Labour Party,200106,Ambitions for Britain,3
6302,greens recognise cultural diversity vital ecological biodiversity maintaining enriching healthy fair society,51110_201505,Green Party of England and Wales,201505,For the common good. General election manifesto 2015,2
4638,imagine food banks going business,51110_201505,Green Party of England and Wales,201505,For the common good. General election manifesto 2015,2
5452,ensure cost effective treatments available patients need,51110_201505,Green Party of England and Wales,201505,For the common good. General election manifesto 2015,2
8695,country open ambitious entrepreneurs thinkers overseas,51421_201505,Liberal Democrats,201505,Manifesto 2015. Stronger Economy. Fairer Society. Opportunity for Everyone.,4
13198,improve welsh housing stock,51901_201505,The Party of Wales,201505,Working for Wales. 2015 Westminster Election Manifesto,7
1335,variety tactics required deal,51902_199705,Scottish National Party,199705,Yes we can win the best for Scotland,5
14770,support nhs shown year million increase health resource spending bringing record levels,51902_201505,Scottish National Party,201505,Stronger for Scotland. SNP Manifesto 2015,5
5005,charged use penalised using less,51110_201505,Green Party of England and Wales,201505,For the common good. General election manifesto 2015,2
15341,preventing mps claiming expenses incurred wholly exclusively necessarily performance duties like every member society,51951_201505,United Kingdom Independence Party,201505,Believe in Britain. UKIP Manifesto 2015,9
4613,public ownership democratic control lead fairer services better outcomes,51110_201505,Green Party of England and Wales,201505,For the common good. General election manifesto 2015,2
2804,labour pledged create new working age agency jobcentre plus merging old employment service benefits agency focusing key skill needs areas country sectors economy,51320_200106,Labour Party,200106,Ambitions for Britain,3
5869,believe time come recognise creation currency control money supply far important left profit seeking private sector banks brought back democratic control state,51110_201505,Green Party of England and Wales,201505,For the common good. General election manifesto 2015,2
13017,protect universal benefits winter fuel payment,51621_201505,Ulster Unionist Party,201505,"One day, one vote, one chance for change. Westminster Manifesto 2015",8
4999,many people suffer fuel poverty,51110_201505,Green Party of England and Wales,201505,For the common good. General election manifesto 2015,2
13375,use enable universities work closely industry promoting research development related universities menai science park developed result budget deal,51901_201505,The Party of Wales,201505,Working for Wales. 2015 Westminster Election Manifesto,7
10477,criminals hackers terrorists operate across borders,51421_201505,Liberal Democrats,201505,Manifesto 2015. Stronger Economy. Fairer Society. Opportunity for Everyone.,4
11169,million people keeping hard earned money,51620_201505,Conservative Party,201505,"Strong leadership. A clear economic plan. A brighter, more secure future. The Conservative Party Manifesto 2015",0
9947,enable local authorities operate licensing schemes rental properties areas believe needed,51421_201505,Liberal Democrats,201505,Manifesto 2015. Stronger Economy. Fairer Society. Opportunity for Everyone.,4
7350,strong economic foundation,51320_201505,Labour Party,201505,Britain can be better. The Labour Party Manifesto 2015,3
7430,improve link executive pay performance simplifying pay packages requiring investment pension fund managers disclose vote top pay,51320_201505,Labour Party,201505,Britain can be better. The Labour Party Manifesto 2015,3
11662,take new steps encourage volunteering enabling people join unsung heroes backbone communities across britain,51620_201505,Conservative Party,201505,"Strong leadership. A clear economic plan. A brighter, more secure future. The Conservative Party Manifesto 2015",0
1512,independent scottish food agency partner agricultural sector restoring domestic international trade,51902_199705,Scottish National Party,199705,Yes we can win the best for Scotland,5
6919,party strategy policies achieve irish unity independence,51210_201505,We Ourselves,201505,Equality not austerity Comhionannas ní déine. Sinn Féin 2015 Westminster election manifesto,10
14539,strategic defence security review,51902_201505,Scottish National Party,201505,Stronger for Scotland. SNP Manifesto 2015,5
12980,focus inclusion integration young people minority backgrounds,51621_201505,Ulster Unionist Party,201505,"One day, one vote, one chance for change. Westminster Manifesto 2015",8
15530,growing concern ttip may compel us put many public services sale us companies thereby privatising significant parts nhs,51951_201505,United Kingdom Independence Party,201505,Believe in Britain. UKIP Manifesto 2015,9
12300,end,51620_201505,Conservative Party,201505,"Strong leadership. A clear economic plan. A brighter, more secure future. The Conservative Party Manifesto 2015",0
7368,part plan save improve health service,51320_201505,Labour Party,201505,Britain can be better. The Labour Party Manifesto 2015,3
11947,next generation pipelines west shetland,51620_201505,Conservative Party,201505,"Strong leadership. A clear economic plan. A brighter, more secure future. The Conservative Party Manifesto 2015",0
2716,labour committed reform vat system ensure made free everyone december,51320_200106,Labour Party,200106,Ambitions for Britain,3
14226,power pursue real alternative unfair cuts end bedroom tax,51902_201505,Scottish National Party,201505,Stronger for Scotland. SNP Manifesto 2015,5
8922,use particular promote low carbon resource efficient innovation,51421_201505,Liberal Democrats,201505,Manifesto 2015. Stronger Economy. Fairer Society. Opportunity for Everyone.,4
3546,trust us repay trust,51320_200106,Labour Party,200106,Ambitions for Britain,3
3621,snp mps elected westminster stronger case referendum independence,51902_200106,Scottish National Party,200106,Heart of the manifesto 2001,5
3030,investing raise police numbers highest level ever,51320_200106,Labour Party,200106,Ambitions for Britain,3
5500,patient care damaged two policies,51110_201505,Green Party of England and Wales,201505,For the common good. General election manifesto 2015,2
9245,ensure pensioners eligible gain increased personal allowance,51421_201505,Liberal Democrats,201505,Manifesto 2015. Stronger Economy. Fairer Society. Opportunity for Everyone.,4
11434,introduce framework recognise universities offering highest teaching quality,51620_201505,Conservative Party,201505,"Strong leadership. A clear economic plan. A brighter, more secure future. The Conservative Party Manifesto 2015",0
11952,without secure energy supplies country becomes less safe less prosperous,51620_201505,Conservative Party,201505,"Strong leadership. A clear economic plan. A brighter, more secure future. The Conservative Party Manifesto 2015",0
2595,reform driven primary care trusts pcts power resources decentralised frontline staff,51320_200106,Labour Party,200106,Ambitions for Britain,3
2549,expand excellence cities programme urban secondary schools extra help weakest schools learning mentors school units help manage pupil behaviour,51320_200106,Labour Party,200106,Ambitions for Britain,3
9009,without public subsidy new build,51421_201505,Liberal Democrats,201505,Manifesto 2015. Stronger Economy. Fairer Society. Opportunity for Everyone.,4
4303,snp determined ensure key services rural sub post offices,51902_200106,Scottish National Party,200106,Heart of the manifesto 2001,5
4688,government run much departments rarely take notice,51110_201505,Green Party of England and Wales,201505,For the common good. General election manifesto 2015,2
3020,double amount assets seized drug traffickers major criminals,51320_200106,Labour Party,200106,Ambitions for Britain,3
10505,focus ensuring armed forces training equipment need threats today,51421_201505,Liberal Democrats,201505,Manifesto 2015. Stronger Economy. Fairer Society. Opportunity for Everyone.,4
8891,develop platforms government provide feedback suppliers help quality providers grow,51421_201505,Liberal Democrats,201505,Manifesto 2015. Stronger Economy. Fairer Society. Opportunity for Everyone.,4
12392,led world promoting women rights tackling sexual violence conflict,51620_201505,Conservative Party,201505,"Strong leadership. A clear economic plan. A brighter, more secure future. The Conservative Party Manifesto 2015",0
10278,uk made good progress treatment continue give people year criminal record drug possession blighting employment chances,51421_201505,Liberal Democrats,201505,Manifesto 2015. Stronger Economy. Fairer Society. Opportunity for Everyone.,4
5986,would cost successively additional billion year estimated bring cumulatively year additional billion still one quarter closing tax gap collecting extra billion year end parliament,51110_201505,Green Party of England and Wales,201505,For the common good. General election manifesto 2015,2
9679,expand accessible green space new national nature parks chosen local communities,51421_201505,Liberal Democrats,201505,Manifesto 2015. Stronger Economy. Fairer Society. Opportunity for Everyone.,4
1984,frontline staff operating new ways drive standards key public services,51320_200106,Labour Party,200106,Ambitions for Britain,3
10921,depend infrastructure every stage life,51620_201505,Conservative Party,201505,"Strong leadership. A clear economic plan. A brighter, more secure future. The Conservative Party Manifesto 2015",0
9207,ask low pay commission look ways raising national minimum wage without damaging employment opportunities,51421_201505,Liberal Democrats,201505,Manifesto 2015. Stronger Economy. Fairer Society. Opportunity for Everyone.,4
16705,include extradition treaties,51951_201505,United Kingdom Independence Party,201505,Believe in Britain. UKIP Manifesto 2015,9
15069,budget settlement allow real term increases health,51903_201505,Democratic Unionist Party,201505,The Northern Ireland Plan,1
1573,scotland international reputation clean nation rich land water,51902_199705,Scottish National Party,199705,Yes we can win the best for Scotland,5
8348,sdlp voted massive increase tuition fees cap restrict access education young people,51340_201505,Social Democratic and Labour Party,201505,Prosperity not austerity. SDLP Westminster Manifesto 2015,6
14109,implementation calman commission proposals demonstrated transition full fiscal responsibility agreement detailed fiscal framework would underpin would take number years,51902_201505,Scottish National Party,201505,Stronger for Scotland. SNP Manifesto 2015,5
10953,support fairer deal taxpayers commuters,51620_201505,Conservative Party,201505,"Strong leadership. A clear economic plan. A brighter, more secure future. The Conservative Party Manifesto 2015",0
12332,honour result referendum whatever outcome,51620_201505,Conservative Party,201505,"Strong leadership. A clear economic plan. A brighter, more secure future. The Conservative Party Manifesto 2015",0
11432,also introduce national postgraduate loan system taught masters phd courses,51620_201505,Conservative Party,201505,"Strong leadership. A clear economic plan. A brighter, more secure future. The Conservative Party Manifesto 2015",0
8434,fight introduction social tariffs energy provision older people disabled people,51340_201505,Social Democratic and Labour Party,201505,Prosperity not austerity. SDLP Westminster Manifesto 2015,6
7650,supported successful teach first since inception continue,51320_201505,Labour Party,201505,Britain can be better. The Labour Party Manifesto 2015,3
